Time,Time Code,Country Name,Country Code,"Population, total [SP.POP.TOTL]",Population growth (annual %) [SP.POP.GROW],GDP (constant 2010 US$) [NY.GDP.MKTP.KD],Imports of goods and services (constant 2010 US$) [NE.IMP.GNFS.KD],Exports of goods and services (current US$) [NE.EXP.GNFS.CD],Average precipitation in depth (mm per year) [AG.LND.PRCP.MM]
2000,YR2000,Afghanistan,AFG,20779953,2.97505284644171,..,..,..,..
2000,YR2000,Albania,ALB,3089027,-0.637356833943492,6933706092.26578,2619748366.07281,700086106.327426,..
2000,YR2000,Algeria,DZA,31042235,1.35840780581394,110401131704.913,19803125938.9779,23050102311.9851,..
2000,YR2000,American Samoa,ASM,57821,1.33713711153801,..,..,..,..
2000,YR2000,Andorra,AND,65390,1.57216555086599,2640408325.59989,..,..,..
2000,YR2000,Angola,AGO,16395473,3.27720355508788,36155384575.451,4267996118.3158,8187952996.90344,..
2000,YR2000,Antigua and Barbuda,ATG,76016,1.78118717946282,997674789.130764,..,814814814.814815,..
2000,YR2000,Argentina,ARG,36870787,1.10058372499365,303229512290.352,42559032988.0605,31223690400,..
2000,YR2000,Armenia,ARM,3069591,-0.63102079888531,4306732119.09919,2038605454.8089,423629629.686612,..
2000,YR2000,Aruba,ABW,90853,2.0550267831539,2581804607.81403,..,1393854748.60335,..
2000,YR2000,Australia,AUS,19153000,1.19227232344832,849137077164.435,116305619252.701,80697104816.9315,..
2000,YR2000,Austria,AUT,8011566,0.240466652446524,336495472200.435,135170114801.032,85305371291.6897,..
2000,YR2000,Azerbaijan,AZE,8048600,0.821519963674211,13351060283.0959,2475890783.24717,2118054168.34413,..
2000,YR2000,"Bahamas, The",BHS,298051,1.34739833426183,9409692544.77027,4468369415.89874,3072900000,..
2000,YR2000,Bahrain,BHR,664611,4.31530764013975,15256303191.4894,8013510638.29787,7176063829.78723,..
2000,YR2000,Bangladesh,BGD,127657854,1.95238739042337,67013472133.6724,6403171396.5966,6588073941.56231,..
2000,YR2000,Barbados,BRB,271515,0.392645061489077,4227500000,..,1322800000,..
2000,YR2000,Belarus,BLR,9979610,-0.471131334643547,28028482645.7397,14318716676.5379,8815283224.1715,..
2000,YR2000,Belgium,BEL,10251250,0.242517956221334,405832614001.301,274926777648.797,171360235857.748,..
2000,YR2000,Belize,BLZ,247315,3.42494862967684,955513245.778612,791148079.325168,440767300,..
2000,YR2000,Benin,BEN,6865951,2.98399477560651,6520842618.31787,1556971545.05453,723503459.033678,..
2000,YR2000,Bermuda,BMU,61833,0.894182915884811,5927399287.21404,..,..,..
2000,YR2000,Bhutan,BTN,591021,2.24835846469848,661804110.259602,329082660.067684,129012507.788162,..
2000,YR2000,Bolivia,BOL,8418264,1.93343126038957,13481147773.3343,4292442813.4239,1534697177.97364,..
2000,YR2000,Bosnia and Herzegovina,BIH,3751176,0.208738982702463,11310019599.0831,..,1579685633.53745,..
2000,YR2000,Botswana,BWA,1643334,2.03289643567251,8563534760.35649,4515495068.11649,3000196009.25164,..
