iso,country,region,year,pop_total,pop_growth,gdp,imports,exports,avg_precip,co2,methane,nitrous_oxide,total_ghg,avg_temp_c,avg_temp_f
AFG,Afghanistan,South Asia,2000,20779953,2.97505284644171,,,,,0.758,10.59,3.62,15.05,15.822666666666663,60.480799999999995
AFG,Afghanistan,South Asia,2001,21606988,3.90280570094654,,,,,0.7979999999999999,9.36,3.22,13.47,15.847916666666665,60.526250000000005
AFG,Afghanistan,South Asia,2002,22600770,4.49671956064979,7465114629.45783,,,327,1.052,11.21,3.72,16.1,15.714583333333332,60.286249999999995
AFG,Afghanistan,South Asia,2003,23680871,4.66836149396509,8124454291.89637,,,,1.186,11.56,3.92,16.78,15.132583333333331,59.23865
AFG,Afghanistan,South Asia,2004,24726684,4.3215392956708,8239343660.83276,,,,0.889,11.47,3.82,16.35,16.128416666666666,61.03115
AFG,Afghanistan,South Asia,2005,25654277,3.68273179651497,9164598458.53792,,,,1.3030000000000002,11.68,3.97,17.09,14.847499999999998,58.725500000000004
AFG,Afghanistan,South Asia,2006,26433049,2.99047809385985,9655582953.98018,,,,1.635,14.89,4.06,20.74,15.798500000000002,60.43729999999999
AFG,Afghanistan,South Asia,2007,27100536,2.49384229934363,10990594706.5564,,,327,2.269,18.1,4.25,24.78,15.518,59.9324
AFG,Afghanistan,South Asia,2008,27722276,2.26827714453847,11421973770.8233,,,,4.2,22.19,4.81,31.39,15.479249999999999,59.86265000000001
AFG,Afghanistan,South Asia,2009,28394813,2.39702099079878,13865194314.7185,,,,6.74,25.43,5.32,37.72,15.093333333333334,59.168000000000006
AFG,Afghanistan,South Asia,2010,29185507,2.74657628012835,15856574731.441,,,,8.398,30.04,6.03,44.75,15.676,60.216800000000006
AFG,Afghanistan,South Asia,2011,30117413,3.14312590262153,15924179997.7914,,,,12.106,39.48,6.61,58.62,15.812166666666668,60.46190000000001
AFG,Afghanistan,South Asia,2012,31161376,3.40758697372751,17954877146.6564,,,327,10.219,48.78,7.16,67.05,14.510333333333335,58.11860000000001
AFG,Afghanistan,South Asia,2013,32269589,3.49458904891961,18960483969.8941,,,,8.441,58.13,7.72,76.29,16.206125,61.17102499999999
AGO,Angola,Sub-Saharan Africa,2000,16395473,3.27720355508788,36155384575.451,4267996118.3158,8187952996.90344,,9.515,47.49,19.3,161.84,24.41033333333333,75.9386
AGO,Angola,Sub-Saharan Africa,2001,16945753,3.3011981819287,37676079528.6812,10941978660.9548,6736804052.06298,,9.672,41.35,18.45,143.58,24.427083333333332,75.96874999999999
AGO,Angola,Sub-Saharan Africa,2002,17519417,3.32925667399073,42824774451.2357,22834202903.1205,8725781181.80022,1010,12.597999999999999,44.8,19.06,164.5,24.790916666666664,76.62365
AGO,Angola,Sub-Saharan Africa,2003,18121479,3.37881111015826,44105170974.6178,25046837164.4329,9676099739.56623,,8.988,49.02,21.28,181.04,24.867166666666673,76.76089999999999
AGO,Angola,Sub-Saharan Africa,2004,18758145,3.45301382916021,48935949384.3211,26832676652.9623,13749769575.3243,,18.702,52.62,21.71,193.16,24.216166666666666,75.5891
AGO,Angola,Sub-Saharan Africa,2005,19433602,3.53755715435985,56290491777.1201,30039181511.7636,24225663183.7639,,19.006,53.41,21.72,191.8,24.41458333333333,75.94625
AGO,Angola,Sub-Saharan Africa,2006,20149901,3.6195745593604,62790739426.972,31946669537.0915,33245105956.2189,,22.101999999999997,46.73,19.08,165.86,24.13841666666667,75.44915
AGO,Angola,Sub-Saharan Africa,2007,20905363,3.68063536954353,71587733475.3748,34374616423.8749,44319695565.281,1010,24.976,55.16,21.55,196.18,24.241583333333327,75.63485000000001
AGO,Angola,Sub-Saharan Africa,2008,21695634,3.71053132219744,79581318822.8055,40620484227.3826,64168383679.8013,,25.486,49.94,19.66,173.97,24.266333333333336,75.6794
AGO,Angola,Sub-Saharan Africa,2009,22514281,3.70387768309131,80264693646.7985,40427766592.5416,41310593206.4512,,27.566,52.37,19.96,180.68,24.325083333333335,75.78515
AGO,Angola,Sub-Saharan Africa,2010,23356246,3.67146240136924,83799496611.2004,35682259098.1843,51572818660.8665,,28.864,54.53,20.74,186.78,24.440250000000002,75.99245
AGO,Angola,Sub-Saharan Africa,2011,24220661,3.63415862558996,86708995310.3851,39589481387.0111,67822745138.1171,,30.33,62.53,22.28,220.88,24.150750000000002,75.47135000000002
AGO,Angola,Sub-Saharan Africa,2012,25107931,3.59777430762499,94115840392.858,39554065387.2082,71632934595.8855,1010,33.801,54.14,20.63,185.5,24.24008333333333,75.63215
AGO,Angola,Sub-Saharan Africa,2013,26015780,3.55195046716591,98778851724.4208,41285999311.6733,69376269461.8533,,33.229,57.54,21.62,202.25,24.553874999999998,76.19697500000001
AUS,Australia,East Asia & Pacific,2000,19153000,1.19227232344832,849137077164.435,116305619252.701,80697104816.9315,,350.195,170.05,99.82,608.16,15.943750000000001,60.69875
AUS,Australia,East Asia & Pacific,2001,19413000,1.34835834227145,865532704887.51,115171817467.997,84096812278.6305,,357.66900000000004,187.38,117.67,700.99,16.017250000000004,60.83104999999998
AUS,Australia,East Asia & Pacific,2002,19651400,1.22056378534358,900166165695.802,116725861142.867,81986709920.4688,534,362.21,176.89,108.51,688.48,15.904833333333334,60.62869999999999
AUS,Australia,East Asia & Pacific,2003,19895400,1.23399666342628,927044536189.266,132130086892.174,89076295864.8806,,369.726,140.63,70.85,620.39,15.788958333333335,60.42012499999999
AUS,Australia,East Asia & Pacific,2004,20127400,1.15935216218033,964640382071.844,149966762477.195,105368473467.065,,383.205,153.78,90.89,664.4,15.805875000000002,60.45057499999999
AUS,Australia,East Asia & Pacific,2005,20394800,1.31978955436191,995550062444.482,168712027342.245,126651631333.634,,386.51300000000003,131.51,65.02,622.46,16.20329166666667,61.16592499999999
AUS,Australia,East Asia & Pacific,2006,20697900,1.47522794532757,1023371077536.56,182435285530.885,148419436957.173,,392.681,158.53,90.0,637.39,15.870291666666665,60.56652499999999
AUS,Australia,East Asia & Pacific,2007,20827600,0.624678435014185,1062711818739.97,201709141944.708,172356912930.831,534,399.842,149.32,80.29,628.77,16.50633333333333,61.71139999999999
AUS,Australia,East Asia & Pacific,2008,21249200,2.00402174031569,1101585323180.17,230841269439.452,212503133393.017,,404.417,131.52,64.67,597.42,15.715833333333336,60.28849999999999
AUS,Australia,East Asia & Pacific,2009,21691700,2.0610451296841,1122922963917.09,222936387917.978,213439846856.133,,407.463,138.15,70.06,617.92,16.411625,61.540924999999994
AUS,Australia,East Asia & Pacific,2010,22031750,1.55548958906995,1146138465603.81,238851404915,227050118911.301,,405.50300000000004,121.11,56.13,579.14,16.115333333333332,61.0076
AUS,Australia,East Asia & Pacific,2011,22340024,1.38952731561803,1174365063005.45,263374028362.173,299391698708.469,,404.173,174.14,112.17,617.79,15.952125000000002,60.713824999999986
AUS,Australia,East Asia & Pacific,2012,22733465,1.74582000067359,1220378598873.43,293297108364.744,332126211590.019,534,406.506,173.59,112.58,617.86,15.8715,60.5687
AUS,Australia,East Asia & Pacific,2013,23128129,1.721151439989,1251924137225.91,294100443690.698,314546014158.203,,397.94300000000004,132.67,66.69,529.26,16.415625,61.548125
BGD,Bangladesh,South Asia,2000,127657854,1.95238739042337,67013472133.6724,6403171396.5966,6588073941.56231,,26.525,69.01,21.38,136.2,25.90525,78.62945
BGD,Bangladesh,South Asia,2001,130088702,1.88628714466314,70415938962.5704,7225891128.55627,7227575982.20904,,31.035,69.16,21.9,140.36,25.931249999999995,78.67625
BGD,Bangladesh,South Asia,2002,132478086,1.82007022128666,73115069176.56,6875621552.51048,6791241511.40519,2666,31.980999999999998,70.23,22.4,143.71,26.094999999999995,78.971
BGD,Bangladesh,South Asia,2003,134791603,1.73126611842793,76580407159.1288,7463456140.93008,6876856649.39551,,33.459,71.19,21.98,145.52,25.92741666666667,78.66935000000001
BGD,Bangladesh,South Asia,2004,136986432,1.61519801742418,80592862795.19,13788696951.8414,7257329709.52947,,35.945,71.09,22.11,148.32,26.136083333333332,79.04495
BGD,Bangladesh,South Asia,2005,139035505,1.48474477409202,85860367933.4753,19037059270.6007,9994813008.13008,,37.677,72.51,22.88,151.84,26.19333333333333,79.148
