iso,country,year,co2,methane,nitrous_oxide,total_ghg,avg_temp_c,avg_temp_f
AFG,Afghanistan,2000,0.758,10.59,3.62,15.05,15.822666666666663,60.480799999999995
AFG,Afghanistan,2001,0.7979999999999999,9.36,3.22,13.47,15.847916666666665,60.526250000000005
AFG,Afghanistan,2002,1.052,11.21,3.72,16.1,15.714583333333332,60.286249999999995
AFG,Afghanistan,2003,1.186,11.56,3.92,16.78,15.132583333333331,59.23865
AFG,Afghanistan,2004,0.889,11.47,3.82,16.35,16.128416666666666,61.03115
AFG,Afghanistan,2005,1.3030000000000002,11.68,3.97,17.09,14.847499999999998,58.725500000000004
AFG,Afghanistan,2006,1.635,14.89,4.06,20.74,15.798500000000002,60.43729999999999
AFG,Afghanistan,2007,2.269,18.1,4.25,24.78,15.518,59.9324
AFG,Afghanistan,2008,4.2,22.19,4.81,31.39,15.479249999999999,59.86265000000001
AFG,Afghanistan,2009,6.74,25.43,5.32,37.72,15.093333333333334,59.168000000000006
AFG,Afghanistan,2010,8.398,30.04,6.03,44.75,15.676,60.216800000000006
AFG,Afghanistan,2011,12.106,39.48,6.61,58.62,15.812166666666668,60.46190000000001
AFG,Afghanistan,2012,10.219,48.78,7.16,67.05,14.510333333333335,58.11860000000001
AFG,Afghanistan,2013,8.441,58.13,7.72,76.29,16.206125,61.17102499999999
AGO,Angola,2000,9.515,47.49,19.3,161.84,24.41033333333333,75.9386
AGO,Angola,2001,9.672,41.35,18.45,143.58,24.427083333333332,75.96874999999999
AGO,Angola,2002,12.597999999999999,44.8,19.06,164.5,24.790916666666664,76.62365
AGO,Angola,2003,8.988,49.02,21.28,181.04,24.867166666666673,76.76089999999999
AGO,Angola,2004,18.702,52.62,21.71,193.16,24.216166666666666,75.5891
AGO,Angola,2005,19.006,53.41,21.72,191.8,24.41458333333333,75.94625
AGO,Angola,2006,22.101999999999997,46.73,19.08,165.86,24.13841666666667,75.44915
AGO,Angola,2007,24.976,55.16,21.55,196.18,24.241583333333327,75.63485000000001
AGO,Angola,2008,25.486,49.94,19.66,173.97,24.266333333333336,75.6794
AGO,Angola,2009,27.566,52.37,19.96,180.68,24.325083333333335,75.78515
AGO,Angola,2010,28.864,54.53,20.74,186.78,24.440250000000002,75.99245
AGO,Angola,2011,30.33,62.53,22.28,220.88,24.150750000000002,75.47135000000002
AGO,Angola,2012,33.801,54.14,20.63,185.5,24.24008333333333,75.63215
AGO,Angola,2013,33.229,57.54,21.62,202.25,24.553874999999998,76.19697500000001
AUS,Australia,2000,350.195,170.05,99.82,608.16,15.943750000000001,60.69875
AUS,Australia,2001,357.66900000000004,187.38,117.67,700.99,16.017250000000004,60.83104999999998
AUS,Australia,2002,362.21,176.89,108.51,688.48,15.904833333333334,60.62869999999999
AUS,Australia,2003,369.726,140.63,70.85,620.39,15.788958333333335,60.42012499999999
AUS,Australia,2004,383.205,153.78,90.89,664.4,15.805875000000002,60.45057499999999
