country,region,year,avg_precip,avg_temp_c,avg_temp_f,iso,co2,methane,nitrous_oxide,total_ghg
Afghanistan,South Asia,2000,,15.822666666666663,60.480799999999995,AFG,0.758,10.59,3.62,15.05
Afghanistan,South Asia,2001,,15.847916666666665,60.526250000000005,AFG,0.7979999999999999,9.36,3.22,13.47
Afghanistan,South Asia,2002,327,15.714583333333332,60.286249999999995,AFG,1.052,11.21,3.72,16.1
Afghanistan,South Asia,2003,,15.132583333333331,59.23865,AFG,1.186,11.56,3.92,16.78
Afghanistan,South Asia,2004,,16.128416666666666,61.03115,AFG,0.889,11.47,3.82,16.35
Afghanistan,South Asia,2005,,14.847499999999998,58.725500000000004,AFG,1.3030000000000002,11.68,3.97,17.09
Afghanistan,South Asia,2006,,15.798500000000002,60.43729999999999,AFG,1.635,14.89,4.06,20.74
Afghanistan,South Asia,2007,327,15.518,59.9324,AFG,2.269,18.1,4.25,24.78
Afghanistan,South Asia,2008,,15.479249999999999,59.86265000000001,AFG,4.2,22.19,4.81,31.39
Afghanistan,South Asia,2009,,15.093333333333334,59.168000000000006,AFG,6.74,25.43,5.32,37.72
Afghanistan,South Asia,2010,,15.676,60.216800000000006,AFG,8.398,30.04,6.03,44.75
Afghanistan,South Asia,2011,,15.812166666666668,60.46190000000001,AFG,12.106,39.48,6.61,58.62
Afghanistan,South Asia,2012,327,14.510333333333335,58.11860000000001,AFG,10.219,48.78,7.16,67.05
Afghanistan,South Asia,2013,,16.206125,61.17102499999999,AFG,8.441,58.13,7.72,76.29
Angola,Sub-Saharan Africa,2000,,24.41033333333333,75.9386,AGO,9.515,47.49,19.3,161.84
Angola,Sub-Saharan Africa,2001,,24.427083333333332,75.96874999999999,AGO,9.672,41.35,18.45,143.58
Angola,Sub-Saharan Africa,2002,1010,24.790916666666664,76.62365,AGO,12.597999999999999,44.8,19.06,164.5
Angola,Sub-Saharan Africa,2003,,24.867166666666673,76.76089999999999,AGO,8.988,49.02,21.28,181.04
Angola,Sub-Saharan Africa,2004,,24.216166666666666,75.5891,AGO,18.702,52.62,21.71,193.16
Angola,Sub-Saharan Africa,2005,,24.41458333333333,75.94625,AGO,19.006,53.41,21.72,191.8
Angola,Sub-Saharan Africa,2006,,24.13841666666667,75.44915,AGO,22.101999999999997,46.73,19.08,165.86
Angola,Sub-Saharan Africa,2007,1010,24.241583333333327,75.63485000000001,AGO,24.976,55.16,21.55,196.18
Angola,Sub-Saharan Africa,2008,,24.266333333333336,75.6794,AGO,25.486,49.94,19.66,173.97
Angola,Sub-Saharan Africa,2009,,24.325083333333335,75.78515,AGO,27.566,52.37,19.96,180.68
Angola,Sub-Saharan Africa,2010,,24.440250000000002,75.99245,AGO,28.864,54.53,20.74,186.78
Angola,Sub-Saharan Africa,2011,,24.150750000000002,75.47135000000002,AGO,30.33,62.53,22.28,220.88
Angola,Sub-Saharan Africa,2012,1010,24.24008333333333,75.63215,AGO,33.801,54.14,20.63,185.5
Angola,Sub-Saharan Africa,2013,,24.553874999999998,76.19697500000001,AGO,33.229,57.54,21.62,202.25
Australia,East Asia & Pacific,2000,,15.943750000000001,60.69875,AUS,350.195,170.05,99.82,608.16
Australia,East Asia & Pacific,2001,,16.017250000000004,60.83104999999998,AUS,357.66900000000004,187.38,117.67,700.99
Australia,East Asia & Pacific,2002,534,15.904833333333334,60.62869999999999,AUS,362.21,176.89,108.51,688.48
Australia,East Asia & Pacific,2003,,15.788958333333335,60.42012499999999,AUS,369.726,140.63,70.85,620.39
Australia,East Asia & Pacific,2004,,15.805875000000002,60.45057499999999,AUS,383.205,153.78,90.89,664.4
Australia,East Asia & Pacific,2005,,16.20329166666667,61.16592499999999,AUS,386.51300000000003,131.51,65.02,622.46
Australia,East Asia & Pacific,2006,,15.870291666666665,60.56652499999999,AUS,392.681,158.53,90.0,637.39
Australia,East Asia & Pacific,2007,534,16.50633333333333,61.71139999999999,AUS,399.842,149.32,80.29,628.77
Australia,East Asia & Pacific,2008,,15.715833333333336,60.28849999999999,AUS,404.417,131.52,64.67,597.42
Australia,East Asia & Pacific,2009,,16.411625,61.540924999999994,AUS,407.463,138.15,70.06,617.92
Australia,East Asia & Pacific,2010,,16.115333333333332,61.0076,AUS,405.50300000000004,121.11,56.13,579.14
Australia,East Asia & Pacific,2011,,15.952125000000002,60.713824999999986,AUS,404.173,174.14,112.17,617.79
Australia,East Asia & Pacific,2012,534,15.8715,60.5687,AUS,406.506,173.59,112.58,617.86
Australia,East Asia & Pacific,2013,,16.415625,61.548125,AUS,397.94300000000004,132.67,66.69,529.26
Bangladesh,South Asia,2000,,25.90525,78.62945,BGD,26.525,69.01,21.38,136.2
Bangladesh,South Asia,2001,,25.931249999999995,78.67625,BGD,31.035,69.16,21.9,140.36
Bangladesh,South Asia,2002,2666,26.094999999999995,78.971,BGD,31.980999999999998,70.23,22.4,143.71
Bangladesh,South Asia,2003,,25.92741666666667,78.66935000000001,BGD,33.459,71.19,21.98,145.52
Bangladesh,South Asia,2004,,26.136083333333332,79.04495,BGD,35.945,71.09,22.11,148.32
Bangladesh,South Asia,2005,,26.19333333333333,79.148,BGD,37.677,72.51,22.88,151.84
Bangladesh,South Asia,2006,,26.44041666666666,79.59275000000001,BGD,41.68899999999999,73.86,24.03,147.64
Bangladesh,South Asia,2007,2666,25.951333333333334,78.7124,BGD,42.641999999999996,74.17,24.0,149.92
Bangladesh,South Asia,2008,,26.004499999999997,78.80810000000001,BGD,45.301,76.86,26.11,160.83
Bangladesh,South Asia,2009,,26.53558333333333,79.76405000000001,BGD,49.148,77.56,25.61,164.16
Bangladesh,South Asia,2010,,26.648166666666665,79.96670000000002,BGD,53.992,78.99,26.14,174.16
Bangladesh,South Asia,2011,,25.803250000000002,78.44585000000001,BGD,56.556000000000004,79.57,27.13,187.09
Bangladesh,South Asia,2012,2666,26.28358333333333,79.31045,BGD,60.691,79.73,26.52,190.02
Bangladesh,South Asia,2013,,26.587,79.85660000000001,BGD,61.782,80.47,26.8,194.46
Brazil,Latin America & Caribbean,2000,,23.612944444444445,74.50330000000002,BRA,324.226,327.68,125.19,1646.96
Brazil,Latin America & Caribbean,2001,,23.990944444444445,75.18370000000003,BRA,332.98699999999997,352.69,133.75,1899.73
Brazil,Latin America & Caribbean,2002,1761,24.261180555555555,75.67012499999998,BRA,327.435,384.55,149.01,1945.01
Brazil,Latin America & Caribbean,2003,,24.00302777777777,75.20544999999998,BRA,317.508,399.46,153.91,1958.83
Brazil,Latin America & Caribbean,2004,,23.59476388888888,74.47057499999997,BRA,333.675,418.17,164.96,2005.24
Brazil,Latin America & Caribbean,2005,,24.039263888888893,75.270675,BRA,342.086,424.17,165.85,2015.48
Brazil,Latin America & Caribbean,2006,,23.752055555555554,74.75370000000001,BRA,341.94599999999997,405.11,159.05,1420.95
Brazil,Latin America & Caribbean,2007,1761,24.04238888888889,75.27629999999998,BRA,356.91900000000004,420.53,170.17,1466.13
Brazil,Latin America & Caribbean,2008,,23.669041666666672,74.604275,BRA,380.345,400.96,157.27,1454.36
Brazil,Latin America & Caribbean,2009,,24.00934722222222,75.21682500000003,BRA,360.091,404.17,152.95,1433.19
Brazil,Latin America & Caribbean,2010,,24.12948611111111,75.43307499999997,BRA,411.24,440.19,177.35,1540.26
Brazil,Latin America & Caribbean,2011,,23.57073611111111,74.42732500000001,BRA,429.959,419.85,169.58,1307.81
Brazil,Latin America & Caribbean,2012,1761,24.119944444444442,75.41590000000001,BRA,460.098,428.06,172.62,1353.14
